doc_id,item,category,amount,price,discount
S8BDOTT57D,Перчатки,Аксессуары,1,485.15,0.0
S8BDOTT57D,Пуховик лёгкий,Одежда,2,2470.83,0.0
S8BDOTT57D,Пуховик лёгкий,Одежда,3,539.06,505.0
3G82FRZHT1,Шапка,Аксессуары,1,4939.26,0.0
3G82FRZHT1,Шарф шерстяной,Аксессуары,3,1014.35,0.0
PVE6N5KDP3,Куртка демисезонная,Одежда,1,294.62,96.47
PVE6N5KDP3,Туфли классические,Обувь,1,4610.32,1474.04
PVE6N5KDP3,Лоферы,Обувь,1,4389.51,1468.94
C811EK7QG9,Кроссовки,Обувь,2,3795.31,748.27
C811EK7QG9,Джинсы прямые,Одежда,3,2496.74,0.0
JJRDN07MF6,Плащ,Одежда,2,3507.23,0.0
Y1LSOE93HT,Туфли классические,Обувь,3,3171.26,1262.35
WIM7CMZP3B,Ремень кожаный,Аксессуары,1,4616.37,1598.84
WIM7CMZP3B,Пуховик лёгкий,Одежда,3,3053.84,1883.28
WIM7CMZP3B,Плащ,Одежда,2,4816.62,0.0
WIM7CMZP3B,Лоферы,Обувь,1,2739.72,111.52
D9GOB5OTQJ,Шарф шерстяной,Аксессуары,3,3431.59,0.0
SZ2RTVKBDO,Лоферы,Обувь,2,4474.86,1579.95
SZ2RTVKBDO,Юбка миди,Одежда,3,1534.09,1528.82
SZ2RTVKBDO,Перчатки,Аксессуары,2,3059.4,0.0
VPZZRJPX9C,Брюки чинос,Одежда,2,4756.87,1256.23
VPZZRJPX9C,Лоферы,Обувь,2,1030.53,662.36
VPZZRJPX9C,Брюки чинос,Одежда,2,3100.45,1640.62
SCWTWPW9LH,Джинсы прямые,Одежда,2,3749.69,109.34
HUEOVCIWRE,Шарф шерстяной,Аксессуары,2,955.2,562.76
HUEOVCIWRE,Ботинки кожаные,Обувь,2,335.32,0.0
HUEOVCIWRE,Ремень кожаный,Аксессуары,2,4523.58,0.0
7Y3SHC11UA,Ремень кожаный,Аксессуары,1,626.94,0.0
7Y3SHC11UA,Ремень кожаный,Аксессуары,3,1995.67,0.0
EUQ31D10VY,Джинсы прямые,Одежда,3,4514.68,2787.78
EUQ31D10VY,Джинсы прямые,Одежда,3,2628.07,1085.22
EUQ31D10VY,Ремень кожаный,Аксессуары,2,4891.78,0.0
842MZUTBYV,Туфли классические,Обувь,3,2648.09,599.0
842MZUTBYV,Кроссовки,Обувь,1,2566.02,333.92
2HPY87V6GV,Шарф шерстяной,Аксессуары,2,3178.23,0.0
2HPY87V6GV,Ботинки кожаные,Обувь,1,1331.62,0.0
2HPY87V6GV,Перчатки,Аксессуары,1,3250.27,157.37
2HPY87V6GV,Ботинки кожаные,Обувь,2,1442.51,762.1
1MA36DV02U,Шапка,Аксессуары,2,2967.57,0.0
1MA36DV02U,Туфли классические,Обувь,1,1653.55,68.65
1MA36DV02U,Шорты,Одежда,2,2676.54,0.0
2WBJPW9I2E,Туфли классические,Обувь,1,709.49,106.03
PVJYJYAMD9,Перчатки,Аксессуары,1,4360.93,0.0
PVJYJYAMD9,Ремень кожаный,Аксессуары,3,3656.49,0.0
PVJYJYAMD9,Пальто классическое,Одежда,3,2627.11,0.0
PVJYJYAMD9,Пуховик лёгкий,Одежда,3,2929.07,0.0
SW7EQV3PRS,Пуховик лёгкий,Одежда,2,1705.74,0.0
SW7EQV3PRS,Джинсы прямые,Одежда,2,3613.98,384.19
SW7EQV3PRS,Джинсы прямые,Одежда,2,3659.54,0.0
SW7EQV3PRS,Лоферы,Обувь,3,4288.34,1429.3
IOTDKGDBCQ,Перчатки,Аксессуары,2,3409.59,1584.06
EEUP8LJ4HT,Джинсы прямые,Одежда,2,3828.08,0.0
EEUP8LJ4HT,Пуховик лёгкий,Одежда,1,3402.88,963.48
EEUP8LJ4HT,Лоферы,Обувь,2,362.96,0.0
4WCMX6AC86,Пальто классическое,Одежда,1,4387.36,0.0
4WCMX6AC86,Плащ,Одежда,3,1192.51,653.12
4WCMX6AC86,Плащ,Одежда,1,2560.29,118.35
4WCMX6AC86,Лоферы,Обувь,1,2084.76,45.08
47WA3GI49L,Брюки чинос,Одежда,2,2541.21,0.0
47WA3GI49L,Туфли классические,Обувь,1,3383.92,624.36
5XLF0U2BP8,Джинсы прямые,Одежда,3,713.52,0.0
5XLF0U2BP8,Кроссовки,Обувь,2,578.72,32.17
5XLF0U2BP8,Брюки чинос,Одежда,3,3996.05,0.0
ZZ8BALNG0B,Кроссовки,Обувь,1,4323.28,0.0
ZZ8BALNG0B,Юбка миди,Одежда,3,3312.3,1037.38
ZZ8BALNG0B,Пуховик лёгкий,Одежда,1,4974.08,204.38
ZZ8BALNG0B,Шорты,Одежда,2,4759.0,857.92
NR2JD7PTN9,Куртка демисезонная,Одежда,2,4718.99,3005.67
NR2JD7PTN9,Пуховик лёгкий,Одежда,1,3818.3,0.0
NR2JD7PTN9,Шапка,Аксессуары,1,2747.41,0.0
JXMKC4E8PM,Плащ,Одежда,3,2260.77,0.0
JXMKC4E8PM,Ботинки кожаные,Обувь,1,4346.89,0.0
JXMKC4E8PM,Ремень кожаный,Аксессуары,3,263.72,273.66
HZTHQQED8M,Плащ,Одежда,1,3499.37,100.6
HZTHQQED8M,Пальто классическое,Одежда,2,4527.95,0.0
HZTHQQED8M,Шорты,Одежда,3,3076.15,0.0
HZTHQQED8M,Пуховик лёгкий,Одежда,2,323.41,0.0
H2BH6IKY7O,Лоферы,Обувь,3,3479.05,0.0
H2BH6IKY7O,Ботинки кожаные,Обувь,1,3316.58,0.0
H2BH6IKY7O,Джинсы прямые,Одежда,3,228.12,160.33
H2BH6IKY7O,Ботинки кожаные,Обувь,2,522.54,260.37
PJFCNRO0IN,Перчатки,Аксессуары,2,2730.84,1729.1
PJFCNRO0IN,Куртка демисезонная,Одежда,3,234.88,222.85
PJFCNRO0IN,Ремень кожаный,Аксессуары,1,4778.79,17.44
QSSNNNZTDP,Лоферы,Обувь,3,4321.93,0.0
E58BJ1GVBU,Кроссовки,Обувь,2,2963.78,281.62
E58BJ1GVBU,Шапка,Аксессуары,1,880.27,60.46
QWDSXZ9IUC,Туфли классические,Обувь,2,4721.57,0.0
O2BKDLW0VZ,Кроссовки,Обувь,1,4008.84,499.42
O2BKDLW0VZ,Ремень кожаный,Аксессуары,2,1797.41,69.41
O2BKDLW0VZ,Шарф шерстяной,Аксессуары,2,3184.99,0.0
YI7FT0FP39,Кроссовки,Обувь,2,3853.76,0.0
YI7FT0FP39,Ботинки кожаные,Обувь,3,2703.75,0.0
YI7FT0FP39,Джинсы прямые,Одежда,3,3149.06,486.67
VTA4PQ92FX,Ремень кожаный,Аксессуары,1,1562.85,0.0
VTA4PQ92FX,Плащ,Одежда,3,3039.8,2389.53
VTA4PQ92FX,Кроссовки,Обувь,1,2570.74,761.53
0MRFPQAYEO,Ботинки кожаные,Обувь,2,1501.45,0.0
0MRFPQAYEO,Юбка миди,Одежда,1,3828.73,679.38
0MRFPQAYEO,Ботинки кожаные,Обувь,2,3698.51,92.51
0MRFPQAYEO,Плащ,Одежда,1,2993.04,0.0
11UBB1UISH,Ботинки кожаные,Обувь,2,1524.66,306.88
1Z95FR8FKO,Перчатки,Аксессуары,1,880.56,0.0
1Z95FR8FKO,Плащ,Одежда,3,989.92,960.54
1Z95FR8FKO,Кроссовки,Обувь,3,2945.74,2427.0
1Z95FR8FKO,Туфли классические,Обувь,3,1262.59,250.08
X7KYT60SHJ,Туфли классические,Обувь,3,1009.74,768.7
X7KYT60SHJ,Плащ,Одежда,2,690.6,44.6
X7KYT60SHJ,Шарф шерстяной,Аксессуары,2,1072.74,208.38
X7KYT60SHJ,Лоферы,Обувь,1,3632.76,629.39
6HHYOM2HGU,Ботинки кожаные,Обувь,1,1290.05,0.0
6HHYOM2HGU,Ремень кожаный,Аксессуары,3,1991.11,1948.29
BQSGPI98QX,Туфли классические,Обувь,1,2203.0,401.88
BQSGPI98QX,Плащ,Одежда,1,1257.02,0.0
G3MLEMTIE9,Перчатки,Аксессуары,2,3086.37,136.3
G3MLEMTIE9,Пальто классическое,Одежда,1,3088.31,656.84
G3MLEMTIE9,Пуховик лёгкий,Одежда,1,2396.53,0.0
G3MLEMTIE9,Ботинки кожаные,Обувь,2,1052.34,476.05
ZHF77YXZ38,Плащ,Одежда,2,3088.36,2012.02
ZHF77YXZ38,Шарф шерстяной,Аксессуары,2,4442.36,0.0
DPDE42B6I3,Пуховик лёгкий,Одежда,2,386.96,153.1
DPDE42B6I3,Шапка,Аксессуары,1,2654.1,861.03
DPDE42B6I3,Шарф шерстяной,Аксессуары,3,1733.7,347.56
DPDE42B6I3,Пуховик лёгкий,Одежда,1,2762.58,252.4
43W3XJYSYH,Лоферы,Обувь,2,1729.95,787.02
EYLWX2OXFA,Пуховик лёгкий,Одежда,3,3507.87,0.0
EYLWX2OXFA,Ботинки кожаные,Обувь,1,4189.47,0.0
EYLWX2OXFA,Шапка,Аксессуары,1,4898.56,567.96
9ZU9HEW4U8,Лоферы,Обувь,1,824.03,0.0
TW91FQJB7B,Перчатки,Аксессуары,2,928.61,190.54
TW91FQJB7B,Перчатки,Аксессуары,3,3509.86,0.0
SQOKX9MNAQ,Шорты,Одежда,3,4189.32,0.0
SQOKX9MNAQ,Пуховик лёгкий,Одежда,2,3970.95,427.5
6I3VPAH2MQ,Юбка миди,Одежда,3,1260.0,1129.6
6I3VPAH2MQ,Юбка миди,Одежда,1,3299.06,0.0
6I3VPAH2MQ,Кроссовки,Обувь,3,382.92,69.53
D67CUXOB7K,Пуховик лёгкий,Одежда,1,512.75,0.0
